food_type,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,season,preparation_method,location,pricing,food_wastage_amount,food_consumed,waste_percentage,price_per_kg,revenue_loss,donation_possible,waste_category,event_size
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,425,5.56,120,3000,Yes,Medium,Medium
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,460,8.0,350,14000,No,High,Large
Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,344,7.28,120,3240,Yes,Medium,Medium
Meat,491,Birthday,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32,465,6.44,350,11200,No,Medium,Large
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,344,7.28,120,3240,Yes,Medium,Medium
Meat,240,Wedding,450,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,Low,20,430,4.44,120,2400,Yes,Medium,Small
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,355,11.25,350,15750,No,High,Medium
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,460,8.0,350,14000,No,High,Large
Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,365,8.75,350,12250,No,High,Medium
Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,344,7.28,120,3240,Yes,Medium,Medium
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-Down Dinner,Urban,Low,25,475,5.0,120,3000,Yes,Medium,Large
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,Low,24,369,6.11,120,2880,Yes,Medium,Medium
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-Down Dinner,Suburban,High,40,410,8.89,350,14000,No,High,Medium
Fruits,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,380,5.0,120,2400,Yes,Medium,Medium
Fruits,380,Wedding,500,Room Temperature,Regular,Winter,Sit-Down Dinner,Rural,High,35,465,7.0,350,12250,No,High,Medium
Fruits,300,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25,425,5.56,120,3000,Yes,Medium,Medium
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,290,3.33,120,1200,Yes,Low,Small
Meat,220,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30,420,6.67,220,6600,Yes,Medium,Small
